序号,区域,国家,省份/州,城市,景区名称(中),景区名称(英),大类,细分类型,中国签证政策,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,适合儿童年龄段,儿童出行备注,建议游览时长,日均预算,预算货币,交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,口碑方差,备注,综合加权满意度,特色活动与玩法,数据来源
20,国内,中国,,上海,上海野生动物园,,生态乐园,动物园,国内,8.5,9.5,6.0,7.0,5.0,2-12岁,,6,300,RMB,8.0,8.0,全年,3-5月/9-11月,7.5,8.5,7.0,9.5,10.0,1.3,上海动物园景区,8.11,自驾区·步行区·大熊猫·金丝猴·海狮表演·猛兽区投喂,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
21,国内,中国,,上海,上海欢乐谷,,主题乐园,综合游乐,国内,8.0,9.0,4.0,8.0,6.0,6-18岁,,8,300,RMB,9.0,8.0,全年,4-10月,6.5,8.5,7.0,9.5,10.0,1.6,上海综合游乐景区,8.02,绝顶雄风·天地双雄·谷木游龙·激流勇进·万圣节,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
22,国内,中国,,上海,乐高探索中心,,主题乐园,亲子乐园,国内,8.0,10.0,5.0,6.0,3.0,3-10岁,,4,250,RMB,10.0,8.0,全年,全年,6.5,8.5,6.5,9.5,10.0,1.1,上海亲子乐园景区,7.86,乐高积木·4D影院·迷你天地·赛车场·忍者训练,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
23,国内,中国,,上海,锦江乐园,,主题乐园,综合游乐,国内,7.5,8.0,5.0,7.0,5.0,4-14岁,,5,150,RMB,9.0,8.0,全年,4-10月,5.5,7.5,8.5,9.5,10.0,1.4,上海综合游乐景区,7.71,摩天轮·过山车·峡谷漂流·碰碰车·旋转木马·怀旧情怀,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
24,国内,中国,,上海,上海世茂精灵之城主题乐园,,主题乐园,亲子乐园,国内,7.5,9.5,5.0,6.0,3.0,3-8岁,,5,350,RMB,9.0,8.0,全年,全年,6.0,8.5,6.5,9.5,10.0,1.5,上海亲子乐园景区,7.63,蓝精灵·奥特曼·火影忍者·室内过山车·VR体验,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
25,国内,中国,,丽江,丽江古城·束河,,度假小镇,古镇休闲,国内,9.0,7.0,7.0,9.5,9.0,全年龄,,24,500,RMB,8.0,8.0,全年,3-5月/9-11月,9.5,8.0,8.0,9.5,10.0,3.5,纳西族古城，雪山下的小桥流水人家,8.72,古城漫步·酒吧街·纳西古乐·手鼓·骑马,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
26,国内,中国,,丽江,金茂璞修雪山酒店,,度假酒店,雪山度假,国内,9.0,6.0,6.0,10.0,7.0,6-16岁,,48,2500,RMB,6.0,5.0,秋冬,10-4月,9.0,9.0,5.0,9.5,10.0,1.1,丽江雪山度假景区,8.07,雪山观景·温泉·纳西文化·骑马·徒步·管家·星空,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
27,国内,中国,,亚布力,Club Med亚布力,,度假酒店,滑雪度假,国内,8.5,8.5,5.0,9.0,6.0,4-17岁,,48,1200,RMB,5.0,3.0,冬,12-3月,7.0,8.5,6.5,9.5,10.0,1.9,亚布力滑雪度假景区,7.66,一价全包·滑雪教学·雪地徒步·温泉·冰壶·儿童俱乐部,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
28,国内,中国,,佛山,长鹿旅游休博园,,主题乐园,综合游乐,国内,8.0,9.0,5.0,7.0,4.0,3-12岁,,8,250,RMB,7.0,8.0,全年,3-5月/9-11月,6.5,8.0,8.0,9.5,10.0,1.8,佛山综合游乐景区,7.74,尖叫岛·童话动物王国·海陆空动物表演·水世界·机动游戏,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
29,国内,中国,,保亭,呀诺达雨林,,生态乐园,热带雨林,国内,8.5,7.0,5.0,8.0,8.0,6-14岁,,5,200,RMB,6.0,8.0,冬春,11-4月,8.5,7.5,7.5,9.5,10.0,1.6,保亭热带雨林景区,8.01,踏瀑戏水·高空滑索·悬崖秋千·雨林栈道·药膳,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
30,国内,中国,,保亭,槟榔谷,,文化景区,黎苗文化,国内,8.0,7.0,6.0,7.0,7.0,4-14岁,,4,150,RMB,6.0,8.0,全年,11-4月,8.5,7.0,8.0,9.5,10.0,1.6,保亭黎苗文化景区,7.84,黎族织锦·苗族蜡染·打柴舞·竹竿舞·民俗演出,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
31,国内,中国,,北京,北京环球度假区,,主题乐园,环球影城,国内,9.5,9.5,5.0,9.0,7.0,6-18岁,,12,800,RMB,10.0,7.0,春秋,4-5月/9-10月,8.0,10.0,6.0,9.5,10.0,0.8,全球最大环球影城，哈利波特魔法世界,8.72,哈利波特·变形金刚·侏罗纪·功夫熊猫·小黄人·霸天虎,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
32,国内,中国,,北京,国家体育场(鸟巢),,都市地标,奥运遗产,国内,8.0,6.0,7.0,7.0,8.0,全年龄,,2,100,RMB,10.0,8.0,全年,5-10月,8.0,8.5,7.5,9.5,10.0,1.4,北京奥运遗产景区,8.29,奥运场馆参观·夜景灯光·顶部步道·冬季冰雪季,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
33,国内,中国,,北京,北京海洋馆,,主题乐园,海洋馆,国内,8.0,9.0,7.0,7.0,5.0,2-10岁,,3,200,RMB,9.0,8.0,全年,全年,7.0,8.5,7.0,9.5,10.0,1.5,北京海洋馆景区,8.09,海豚表演·鲨鱼馆·珊瑚馆·海底隧道·触摸池,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
34,国内,中国,,北京,北京欢乐谷,,主题乐园,综合游乐,国内,8.5,9.0,4.0,8.0,6.0,6-18岁,,8,300,RMB,9.0,8.0,全年,4-10月,6.5,8.5,7.0,9.5,10.0,1.8,北京综合游乐景区,8.08,水晶神翼·极速飞车·太阳神车·奇幻海洋馆·万圣节,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
35,国内,中国,,北京,古北水镇,,度假小镇,古镇温泉,国内,8.5,7.0,6.0,9.0,7.0,4-14岁,,24,800,RMB,6.0,7.0,秋冬,9-2月,8.5,8.5,6.5,9.5,10.0,1.6,长城脚下的北方水镇，夜景温泉俱佳,8.08,司马台长城·温泉·夜游·手工作坊·无人机表演·民宿,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
36,国内,中国,,北京,北京野生动物园,,生态乐园,动物园,国内,8.5,9.5,6.0,7.0,5.0,2-12岁,,6,200,RMB,7.0,8.0,全年,4-10月,7.5,8.0,7.5,9.5,10.0,1.0,北京动物园景区,8.01,自驾猛兽区·步行区·猛禽表演·萌宠互动·丛林探险,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
37,国内,中国,,北京,水立方嬉水乐园,,主题乐园,水上乐园,国内,8.0,9.0,5.0,7.0,5.0,4-14岁,,5,250,RMB,10.0,5.0,夏,6-9月,7.0,8.5,7.0,9.5,10.0,1.9,北京水上乐园景区,7.95,海啸·龙卷风·急速暗涌·梦境漂流·泡泡池,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
38,国内,中国,,北京,南宫温泉水世界,,主题乐园,水上乐园,国内,7.5,9.0,6.0,7.0,4.0,2-10岁,,5,200,RMB,7.0,8.0,全年,11-3月,5.5,7.5,8.0,9.5,10.0,2.2,北京水上乐园景区,7.57,温泉滑道·儿童戏水·造浪池·漂流河·温泉鱼疗,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
39,国内,中国,,南京,银杏湖乐园,,主题乐园,综合游乐,国内,8.0,9.0,4.0,7.5,5.0,4-14岁,,8,250,RMB,7.0,8.0,全年,4-10月,6.5,8.0,7.5,9.5,10.0,1.8,南京综合游乐景区,7.74,过山车·大摆锤·激流勇进·恐龙世界·摩天轮·水世界,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
40,国内,中国,,哈尔滨,冰雪大世界,,主题乐园,冰雪主题,国内,9.5,8.0,4.0,9.0,7.0,4-16岁,,6,300,RMB,8.0,3.0,冬,12-2月,9.0,8.0,7.5,9.5,10.0,2.0,哈尔滨冬季必去，全球最大冰雕主题公园,8.24,冰雕城堡·冰滑梯·雪地摩托·灯光秀·烟花,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
41,国内,中国,,大连,发现王国,,主题乐园,综合游乐,国内,8.5,9.0,5.0,8.0,5.0,4-16岁,,8,300,RMB,8.0,6.0,夏秋,5-10月,7.0,8.5,7.0,9.5,10.0,1.7,大连综合游乐景区,7.97,眼镜蛇·沙漠风暴·飞越太平洋·花车·烟花,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
42,国内,中国,,大连,圣亚海洋世界,,主题乐园,海洋馆,国内,8.0,9.0,7.0,7.0,5.0,2-10岁,,4,200,RMB,8.0,6.0,全年,5-10月,7.0,8.0,7.0,9.5,10.0,1.6,大连海洋馆景区,7.87,海底隧道·白鲸表演·南极企鹅·珊瑚世界·恐龙传奇,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
43,国内,中国,,宁波,方特东方神画,,主题乐园,文化科技,国内,8.5,9.0,6.0,8.0,5.0,4-14岁,,8,350,RMB,8.0,8.0,全年,4-10月,8.0,9.0,7.5,9.5,10.0,1.6,宁波文化科技景区,8.3,女娲补天·牛郎织女·雷峰塔·熊出没,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
44,国内,中国,,安吉,Club Med安吉,,度假酒店,山地度假,国内,8.5,9.0,6.0,9.0,5.0,2-17岁,,48,1300,RMB,6.0,8.0,全年,4-10月,7.0,9.0,6.5,9.5,10.0,1.3,安吉山地度假景区,8.04,一价全包·空中飞人·攀岩·射箭·山地自行车·儿童俱乐部,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
45,国内,中国,,常州,中华恐龙园,,主题乐园,恐龙主题,国内,9.0,9.5,5.0,8.0,5.0,3-16岁,,10,500,RMB,8.0,8.0,全年,4-10月,8.0,9.5,7.0,9.5,10.0,1.2,常州恐龙主题IP乐园，4D过山龙刺激,8.36,4D过山龙·翼飞冲天·通天塔·恐龙基因研究中心·水世界·温泉,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
46,国内,中国,,常州,淹城春秋乐园,,主题乐园,历史文化,国内,8.0,8.0,6.0,7.5,6.0,4-14岁,,6,250,RMB,8.0,8.0,全年,4-10月,8.5,8.0,8.0,9.5,10.0,1.1,常州历史文化景区,8.17,春秋五霸·铁血冒险城·九龙问鼎·孙武点将台·水影秀,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
47,国内,中国,,广州,长隆野生动物世界,,生态乐园,动物园,国内,9.5,10.0,7.0,8.0,6.0,2-14岁,,8,500,RMB,9.5,8.0,全年,3-5月/9-11月,8.0,9.5,7.0,9.5,10.0,0.9,亚洲最大野生动物园，自驾穿越猛兽区,8.74,自驾观赏·缆车·大熊猫·白虎·考拉·长颈鹿喂食,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
48,国内,中国,,广州,长隆欢乐世界,,主题乐园,综合游乐,国内,9.2,9.5,4.0,8.0,6.0,6-18岁,,10,500,RMB,9.5,8.0,全年,3-5月/9-11月,7.0,9.5,7.0,9.5,10.0,1.3,华南最刺激主题乐园，垂直过山车,8.4,垂直过山车·十环过山车·大摆锤·4D影院·大马戏,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
49,国内,中国,,广州,正佳极地海洋世界,,主题乐园,海洋馆,国内,8.0,9.0,7.0,7.0,5.0,2-10岁,,4,250,RMB,10.0,8.0,全年,全年,6.5,8.5,7.0,9.5,10.0,1.6,广州海洋馆景区,8.13,北极熊·白鲸·企鹅·海底隧道·美人鱼表演,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
50,国内,中国,,广州,长隆水上乐园,,主题乐园,水上乐园,国内,9.0,9.0,4.0,8.0,5.0,4-16岁,,8,350,RMB,9.5,5.0,夏,5-10月,6.5,9.5,7.0,9.5,10.0,1.3,广州水上乐园景区,8.12,大喇叭·巨蟒·超级造浪·漂流河·摇滚巨轮,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
51,国内,中国,,广州,融创乐园(花都),,主题乐园,综合游乐,国内,7.5,8.5,4.0,7.5,5.0,4-16岁,,8,300,RMB,8.0,8.0,全年,4-10月,6.5,8.5,7.5,9.5,10.0,1.9,广州综合游乐景区,7.78,双龙飞舞·飞越广东·雪世界·水世界·华南虎过山车,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
52,国内,中国,,成都,成都大熊猫基地,,生态乐园,动物园,国内,9.5,9.5,7.0,8.0,8.0,2-14岁,,4,100,RMB,9.0,8.0,全年,3-5月/9-11月,9.5,9.0,8.0,9.5,10.0,0.6,成都动物园景区,8.95,大熊猫·小熊猫·天鹅湖·科研基地·月亮产房,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
53,国内,中国,,成都,青城山康养度假,,度假康养,山水康养,国内,8.8,6.0,8.0,8.5,8.0,全年龄,,8,500,RMB,8.0,8.0,春秋,4-5月/9-10月,9.5,8.0,7.5,9.5,10.0,1.4,成都山水康养景区,8.51,道教养生·森林徒步·温泉·品茶·太极·熊猫谷,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
54,国内,中国,,成都,成都融创乐园,,主题乐园,综合游乐,国内,8.0,9.0,5.0,8.0,6.0,4-16岁,,8,300,RMB,9.0,8.0,全年,4-10月,7.0,9.0,7.5,9.5,10.0,1.5,成都综合游乐景区,8.22,蜀汉过山车·雪世界·水世界·电影世界·星际传奇,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
55,国内,中国,,成都,欢乐谷,,主题乐园,综合游乐,国内,8.0,9.0,4.0,8.0,6.0,6-18岁,,8,280,RMB,9.0,8.0,全年,4-10月,6.5,8.5,7.5,9.5,10.0,2.0,成都综合游乐景区,8.06,飞跃地中海·蓝月飞车·激流勇进·水上乐园·万圣节,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
56,国内,中国,,成都,都江堰虹口漂流,,生态乐园,漂流运动,国内,8.0,8.0,3.0,8.0,6.0,8-16岁,,4,200,RMB,7.0,5.0,夏,6-8月,7.0,7.0,8.0,9.5,10.0,0.9,成都漂流运动景区,7.58,虹口漂流·白沙河漂流·农家乐·避暑·徒步,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
57,国内,中国,,无锡,灵山小镇·拈花湾,,度假小镇,禅意度假,国内,8.8,6.0,7.0,9.5,8.0,全年龄,,24,600,RMB,7.0,8.0,全年,4-5月/9-10月,8.5,8.5,6.5,9.5,10.0,1.5,无锡禅意度假景区,8.33,禅意小镇·夜间灯光秀·抄经·花道·茶道·素斋·温泉,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
58,国内,中国,,无锡,融创乐园,,主题乐园,综合游乐,国内,7.5,9.0,4.0,7.5,5.0,4-16岁,,8,300,RMB,8.0,8.0,全年,4-10月,6.5,8.5,7.5,9.5,10.0,1.8,无锡综合游乐景区,7.82,飞越江苏·蒸汽飞车·雪世界·水世界·电影世界,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
59,国内,中国,,杭州,宋城景区,,主题乐园,文化演艺,国内,8.8,8.0,7.0,8.5,7.0,4-14岁,,6,350,RMB,9.0,8.0,全年,4-10月,8.5,8.5,7.0,9.5,10.0,1.6,千古情演出震撼，主题公园穿越宋朝,8.52,千古情·鬼屋·泼水·丛林迷宫·穿越快闪,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
60,国内,中国,,杭州,杭州乐园,,主题乐园,综合游乐,国内,8.0,9.0,4.0,7.5,5.0,6-18岁,,8,300,RMB,8.0,8.0,全年,4-10月,6.5,8.5,7.0,9.5,10.0,1.7,杭州综合游乐景区,7.84,悬挂过山车·雨神之锤·双海盗船·激流·水上乐园,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
61,国内,中国,,桂林,Club Med桂林,,度假酒店,山水度假,国内,8.5,9.0,7.0,9.5,5.0,2-17岁,,48,1500,RMB,7.0,8.0,春秋,3-5月/9-11月,8.0,9.0,6.0,9.5,10.0,1.1,桂林山水度假景区,8.28,一价全包·攀岩·空中飞人·射箭·皮划艇·儿童俱乐部,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
62,国内,中国,,武汉,欢乐谷,,主题乐园,综合游乐,国内,8.5,9.0,4.0,8.0,6.0,6-18岁,,8,300,RMB,9.0,8.0,全年,4-10月,6.5,8.5,7.5,9.5,10.0,1.6,武汉综合游乐景区,8.12,木翼双龙·极速飞车·激流·水寨·万圣节,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
63,国内,中国,,海口,观澜湖度假区,,度假综合体,高尔夫温泉,国内,8.5,8.0,7.0,9.0,6.0,6-16岁,,48,1000,RMB,8.0,8.0,冬春,11-4月,7.0,9.5,6.5,9.5,10.0,1.4,海口高尔夫温泉景区,8.3,22球场高尔夫·火山温泉·电影公社·水乐园·兰桂坊,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
64,国内,中国,,海口,长影环球100奇幻乐园,,主题乐园,科幻主题,国内,7.5,9.0,5.0,7.0,5.0,4-14岁,,8,280,RMB,8.0,8.0,全年,11-4月,6.5,8.0,7.5,9.5,10.0,1.5,海口科幻主题景区,7.77,飞越海南·星际穿越·奇异花园·丝路冒险·梦幻岛,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + resorts_and_parks_comparison
