序号,区域,国家,省份/州,城市,景区名称(中),景区名称(英),大类,细分类型,中国签证政策,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,适合儿童年龄段,儿童出行备注,建议游览时长,日均预算,预算货币,交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,口碑方差,备注,综合加权满意度,特色活动与玩法,数据来源
11,东亚,日本,,箱根,箱根温泉与芦之湖,,景区,温泉休闲,,9.0,7.0,8.0,9.5,8.0,,,6,250,USD,8.0,7.0,秋冬,10-2月,8.5,9.0,6.0,9.5,9.5,0.6,日本箱根温泉休闲,8.47,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
12,东亚,日本,,广岛,严岛神社(宫岛),Itsukushima Shrine,景区,历史文化,免签30天,9.0,7.0,6.0,9.0,8.0,3-14岁,难度适中，有儿童友好设施,4,1000,RMB,7.0,7.0,春秋,3-5月/10-11月,9.5,8.5,8.0,9.5,9.5,0.7,海上漂浮的朱红鸟居，日本三景之一,8.44,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
13,东亚,日本,,金泽,兼六园,Kenroku-en Garden,景区,园林景观,免签30天,9.0,6.0,7.0,9.0,8.0,3岁以上,游览轻松，幼儿可参与,2,1100,RMB,7.0,8.0,春秋冬,3-4月/11月,9.0,9.0,7.5,9.5,9.5,0.9,日本金泽园林景观,8.44,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
14,东亚,日本,,镰仓,镰仓大佛·江之岛,Kamakura,景区,历史海岸,免签30天,8.8,7.0,6.0,9.0,8.0,3-14岁,难度适中，有儿童友好设施,4,1100,RMB,8.0,8.0,春夏秋,3-10月,8.5,8.5,8.0,9.5,9.5,1.3,日本镰仓历史海岸,8.44,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
15,东亚,日本,,箱根,箱根温泉·芦之湖,Hakone Onsen,景区,温泉度假,免签30天,8.8,7.0,8.0,10.0,7.0,3-14岁,难度适中，有儿童友好设施,5,1500,RMB,8.0,7.0,秋冬,10-3月,8.0,9.0,6.5,9.5,9.5,1.2,日本箱根温泉度假,8.42,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
16,东亚,日本,,的矢湾,伊势神宫,,景区,宗教文化,,8.8,5.0,7.0,8.0,8.5,,,4,170,USD,7.0,8.0,全年,10-11月/4-5月,9.5,8.5,7.0,9.5,9.5,0.9,日本的矢湾宗教文化,8.25,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
17,东亚,日本,,富士山,富士山与河口湖,,景区,自然文化,,9.5,7.0,4.0,9.5,8.0,,,6,200,USD,7.0,5.0,夏秋,7-8月(登山)/11-2月(观景),10.0,8.0,6.5,9.5,9.5,1.0,日本圣山，完美锥形火山的极致美学,8.25,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
18,东亚,日本,,冲绳,美丽海水族馆与万座毛,,景区,海岛休闲,,8.8,9.0,7.0,9.0,7.0,,,6,150,USD,7.0,8.0,全年,3-6月/9-11月,8.0,9.0,6.5,9.3,9.3,1.0,日本冲绳海岛休闲,8.33,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
19,东亚,日本,,名古屋,名古屋城,Nagoya Castle,景区,历史文化,免签30天,8.3,7.0,7.0,7.0,8.0,全年龄,轻松游览，婴儿车可通行,3,1000,RMB,8.0,8.0,春,3-4月,8.0,9.0,8.0,9.5,9.5,0.7,日本名古屋历史文化,8.26,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
20,东亚,日本,,冲绳,冲绳美丽海水族馆,Okinawa Churaumi Aquarium,景区,海洋主题,免签30天,9.0,9.0,6.0,8.0,7.0,2-12岁,海洋动物，幼儿也能享受,4,1200,RMB,7.0,7.0,春秋冬,3-5月/10-12月,8.0,9.0,7.0,9.5,9.5,0.5,日本冲绳海洋主题,8.25,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
21,东亚,日本,,北海道,富良野·美瑛花田,,景区,自然风光,,9.2,8.0,6.0,9.5,8.0,,,6,180,USD,6.0,4.0,夏,6-8月,9.0,8.0,6.5,9.5,9.5,0.5,日本北海道自然风光,8.15,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
22,东亚,日本,,日光,日光东照宫,Nikko Toshogu,景区,历史文化,免签30天,9.0,6.0,5.0,8.0,8.0,6岁以上,步行量中等,4,1100,RMB,7.0,7.0,春秋,4-5月/10-11月,9.5,8.0,7.5,9.5,9.5,0.8,日本日光历史文化,8.15,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
23,东亚,日本,,北海道,富良野·美瑛,Furano & Biei,景区,自然花田,免签30天,9.2,7.0,5.0,10.0,7.0,全年龄,花田平坦，婴儿车可通行,5,1300,RMB,6.0,5.0,夏,6-8月,9.0,8.0,7.5,9.5,9.5,1.0,日本北海道自然花田,8.14,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
24,东亚,日本,,富士山,富士山,Mount Fuji,景区,自然山岳,免签30天,9.3,5.0,3.0,9.0,8.0,10岁以上,登山强度大，10岁以下不建议,8,1500,RMB,7.0,5.0,夏,7-8月,10.0,8.0,7.0,9.5,9.5,1.2,日本圣山，完美锥形火山的极致美学,8.04,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
25,东亚,日本,,高野山,高野山,Mount Koya,景区,宗教文化,免签30天,9.0,5.0,5.0,8.0,9.0,8岁以上,中等体力要求,5,1200,RMB,6.0,7.0,秋,10-11月,9.5,8.0,7.5,9.5,9.5,0.8,日本高野山宗教文化,8.06,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
26,东亚,日本,,别府,别府温泉地狱巡游,Beppu Hells,景区,温泉地质,免签30天,8.5,7.0,7.0,8.0,8.0,3-14岁,难度适中，有儿童友好设施,4,1000,RMB,6.0,7.0,秋冬春,10-4月,8.0,8.0,8.0,9.5,9.5,1.3,日本别府温泉地质,8.05,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
27,东亚,日本,,白川乡,白川乡合掌造,Shirakawa-go,景区,历史村落,免签30天,9.3,6.0,5.0,9.0,8.0,6岁以上,步行量中等,4,1100,RMB,5.0,5.0,冬春,1-3月/10-11月,9.5,7.5,7.5,9.5,9.5,0.8,童话般的合掌造村落，冬季点灯如梦似幻,7.97,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
28,东亚,日本,,长野,上高地,Kamikochi,景区,自然山谷,免签30天,9.0,4.0,3.0,9.0,8.0,8岁以上,山地徒步，幼儿不宜,6,1200,RMB,6.0,4.0,夏秋,6-10月,9.0,7.5,7.0,9.5,9.5,0.9,日本长野自然山谷,7.65,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
29,东亚,日本,,屋久岛,屋久岛,Yakushima,景区,自然森林,免签30天,9.2,4.0,3.0,8.0,9.0,10岁以上,原始森林徒步，路况复杂,8,1300,RMB,4.0,5.0,春夏,3-7月,10.0,7.0,7.5,9.5,9.5,1.0,日本屋久岛自然森林,7.61,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
30,东亚,日本,,纪伊半岛,熊野古道,Kumano Kodo,景区,古道徒步,免签30天,9.0,3.0,3.0,8.0,9.0,12岁以上,长距离徒步，需体力,8,1100,RMB,5.0,5.0,春秋,4-5月/10-11月,9.5,7.0,8.0,9.5,9.5,0.8,日本纪伊半岛古道徒步,7.59,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
31,东亚,日本,,京都,京都寺社古都区,,景区,文化城市,是,9.6,8.2,7.9,9.5,9.2,5-15岁,,2天,2200,RMB,9.4,8.2,"3-5月, 10-11月",,9.8,9.1,8.2,9.1,8.9,0.8,日本京都文化城市,9.06,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + 国际版景区评分模板
32,东亚,日本,,富士山周边,富士山/河口湖,,景区,自然+文化象征,是,9.5,8.6,7.5,9.4,8.8,4-12岁,,1-2天,1800,RMB,8.0,7.6,"10-11月, 2-4月",,9.7,7.8,8.4,9.3,9.2,1.0,日本圣山，完美锥形火山的极致美学,8.79,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + 国际版景区评分模板
33,东亚,日本,,北海道,富良野/美瑛,,景区,自然田园,是,8.9,8.8,7.8,8.7,7.9,4-12岁,,1-2天,1900,RMB,7.0,7.8,6-8月,,8.5,7.3,7.9,9.3,9.1,1.2,日本北海道自然田园,8.34,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + 国际版景区评分模板
34,东亚,蒙古国,,乌兰巴托,成吉思汗骑马雕像,,景区,历史文化,,8.0,5.0,4.0,7.5,8.0,,,3,80,USD,6.0,4.0,夏,6-8月,8.0,5.5,8.0,6.5,6.0,1.7,蒙古国乌兰巴托历史文化,6.59,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
35,东亚,蒙古国,,中部,特勒吉国家公园,,景区,自然生态,,8.5,6.0,3.0,8.0,8.5,,,10,70,USD,4.0,3.0,夏,6-9月,9.0,5.0,8.5,6.0,5.5,1.7,蒙古国中部自然生态,6.51,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
36,东亚,蒙古国,,南戈壁,戈壁沙漠经典线,,景区,自然探险,否,8.6,4.5,3.8,7.8,8.8,10岁+,,3-4天,2500,RMB,4.2,6.2,6-9月,,9.1,4.5,8.2,6.9,5.5,2.4,蒙古国南戈壁自然探险,6.65,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + 国际版景区评分模板
37,东亚,韩国,,首尔,景福宫与北村韩屋村,,景区,历史文化,,8.5,7.0,7.0,8.5,9.0,,,4,150,USD,10.0,8.0,春秋,3-5月/9-11月,9.0,9.5,7.5,8.5,8.0,1.1,首尔最大宫殿，可穿韩服免费入场,8.49,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
38,东亚,韩国,,首尔,景福宫,Gyeongbokgung Palace,景区,历史文化,免签30天,8.8,7.0,7.0,9.0,9.0,全年龄,轻松游览，婴儿车可通行,3,800,RMB,9.0,8.0,春秋,3-5月/9-11月,9.0,9.5,8.0,8.7,8.2,1.0,首尔最大宫殿，可穿韩服免费入场,8.56,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
39,东亚,韩国,,首尔,N首尔塔与明洞,,景区,都市地标,,8.5,7.0,7.0,9.0,9.0,,,4,130,USD,10.0,8.0,全年,3-5月/9-11月,7.5,9.5,7.5,8.7,8.4,1.3,韩国首尔都市地标,8.44,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
40,东亚,韩国,,首尔,北村韩屋村,Bukchon Hanok Village,景区,历史街区,免签30天,8.5,6.0,6.0,9.0,9.0,3岁以上,游览轻松，幼儿可参与,2,800,RMB,10.0,8.0,春秋,3-5月/9-11月,8.0,9.0,8.5,8.7,8.2,1.5,韩国首尔历史街区,8.37,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
41,东亚,韩国,,首尔,南山塔·明洞,Namsan Tower & Myeongdong,景区,城市地标,免签30天,8.3,7.0,7.0,9.0,8.0,全年龄,轻松游览，婴儿车可通行,3,900,RMB,10.0,9.0,四季,3-11月,7.0,9.5,8.0,8.7,8.2,1.3,韩国首尔城市地标,8.36,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
42,东亚,韩国,,釜山,海云台与甘川文化村,,景区,海滨文化,,8.5,7.0,6.0,9.0,8.5,,,5,130,USD,9.0,7.0,夏秋,6-10月,8.0,9.0,7.5,8.7,8.4,1.5,韩国釜山海滨文化,8.23,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
43,东亚,韩国,,济州岛,汉拿山与城山日出峰,,景区,自然文化,,9.0,8.0,5.0,9.0,8.0,,,8,120,USD,7.0,7.0,春秋,4-6月/9-11月,9.5,8.5,7.0,8.7,8.2,1.4,韩国济州岛自然文化,8.16,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
44,东亚,韩国,,庆州,佛国寺与石窟庵,,景区,历史文化,,8.8,6.0,6.0,8.0,8.0,,,5,120,USD,7.0,7.0,春秋,4-5月/10-11月,9.5,8.0,8.0,8.7,8.4,1.4,韩国庆州历史文化,8.02,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
45,东亚,韩国,,庆州,庆州历史遗迹区,Gyeongju Historic Areas,景区,历史遗迹,免签30天,8.8,6.0,6.0,8.0,8.0,6岁以上,有一定步行量，需能独立行走,5,600,RMB,7.0,7.0,春秋,3-5月/9-11月,9.5,8.0,8.5,8.7,8.2,1.8,韩国庆州历史遗迹,8.03,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
46,东亚,韩国,,釜山,海云台·甘川文化村,Haeundae & Gamcheon,景区,海滨文化,免签30天,8.5,7.0,6.0,9.0,8.0,3-14岁,难度适中，有儿童友好设施,4,700,RMB,8.0,7.0,夏秋,6-10月,7.5,8.5,8.5,8.7,8.2,1.5,韩国釜山海滨文化,8.07,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
47,东亚,韩国,,济州岛,城山日出峰,Seongsan Ilchulbong,景区,自然地质,免签30天,9.0,7.0,5.0,9.0,8.0,6岁以上,步行量中等,3,700,RMB,7.0,7.0,春夏秋,4-10月,8.5,8.0,8.5,8.7,8.2,1.5,韩国济州岛自然地质,8.05,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
48,东亚,韩国,,全州,全州韩屋村,Jeonju Hanok Village,景区,历史美食,免签30天,8.5,7.0,7.0,8.0,8.0,全年龄,轻松游览，婴儿车可通行,3,500,RMB,7.0,8.0,春秋,3-5月/9-11月,8.0,8.0,9.0,8.7,8.2,1.5,韩国全州历史美食,8.03,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
49,东亚,韩国,,济州岛,汉拿山国立公园,Hallasan National Park,景区,自然山岳,免签30天,8.8,5.0,3.0,8.0,8.0,8岁以上,登山5-7小时，需体力,7,700,RMB,7.0,7.0,春秋,4-5月/10-11月,8.5,8.0,8.5,8.7,8.2,1.5,韩国济州岛自然山岳,7.71,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
50,东亚,韩国,,江原道,雪岳山国立公园,Seoraksan National Park,景区,自然山岳,免签30天,8.8,5.0,4.0,8.0,8.0,8岁以上,山地徒步，幼儿较吃力,6,600,RMB,6.0,5.0,秋,9-10月,8.5,7.5,8.0,8.7,8.2,1.8,韩国江原道自然山岳,7.5,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
51,东亚,韩国,,安东,河回村,Hahoe Folk Village,景区,历史村落,免签30天,8.3,5.0,6.0,7.0,7.0,3岁以上,游览轻松，幼儿可参与,3,500,RMB,5.0,7.0,春秋,4-5月/9-10月,9.0,7.0,8.5,8.7,8.2,1.7,韩国安东历史村落,7.44,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
52,东亚,韩国,,丽水,丽水海洋公园,Yeosu Expo & Maritime,景区,海洋文化,免签30天,8.0,7.0,6.0,8.0,6.0,3-14岁,难度适中，有儿童友好设施,4,600,RMB,6.0,7.0,夏,6-8月,7.0,8.0,8.0,8.7,8.2,1.6,韩国丽水海洋文化,7.51,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
53,东亚,韩国,,仁川,江华岛,Ganghwa Island,景区,历史自然,免签30天,8.0,6.0,5.0,7.0,7.0,6岁以上,步行量中等,4,600,RMB,7.0,7.0,春秋,4-5月/9-10月,7.5,7.0,8.0,8.7,8.2,1.4,韩国仁川历史自然,7.39,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
54,东亚,韩国,,济州,城山日出峰+济州自然线,,景区,自然海岛,是,8.8,8.4,7.5,8.9,8.3,5-12岁,,1-2天,1500,RMB,8.5,8.0,"4-6月, 9-10月",,8.4,8.0,8.5,8.8,8.3,1.7,韩国济州自然海岛,8.43,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + 国际版景区评分模板
55,东亚,韩国,,庆州,庆州历史遗址区,,景区,文化遗产,是,8.7,7.8,7.8,8.6,8.2,6-15岁,,1天,1000,RMB,7.8,8.1,"4-6月, 9-10月",,8.9,7.5,9.0,8.8,8.2,1.5,韩国庆州文化遗产,8.33,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + 国际版景区评分模板
56,东南亚,印尼,,巴厘岛,乌布·海神庙,"Ubud & Tanah Lot, Bali",景区,文化海岛,免签30天,9.2,7.0,5.0,10.0,8.0,8岁以上,中等体力要求,7,500,RMB,8.0,7.0,旱季,4-10月,9.0,8.0,8.5,8.0,7.5,1.4,印尼巴厘岛文化海岛,8.15,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
57,东南亚,印尼,,日惹,婆罗浮屠,Borobudur Temple,景区,历史文化,免签30天,9.3,6.0,5.0,8.0,8.0,6岁以上,步行量中等,4,350,RMB,6.0,7.0,旱季,5-9月,10.0,7.5,9.0,7.5,7.5,1.1,全球最大佛教遗址，爪哇丛林中的曼陀罗,7.8,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
58,东南亚,印尼,,巴厘岛,库塔·水明漾,"Kuta & Seminyak, Bali",景区,海滨度假,免签30天,8.5,7.0,5.0,9.0,8.0,8岁以上,中等体力要求,5,600,RMB,8.0,7.0,旱季,4-10月,7.0,8.5,7.5,8.0,7.5,1.8,印尼巴厘岛海滨度假,7.74,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
59,东南亚,印尼,,日惹,普兰巴南神庙,Prambanan Temple,景区,历史文化,免签30天,8.8,5.0,5.0,8.0,8.0,6岁以上,步行量中等,3,350,RMB,6.0,7.0,旱季,5-9月,9.5,7.0,9.0,7.5,7.5,1.2,印尼日惹历史文化,7.56,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
60,东南亚,印尼,,科莫多,科莫多国家公园,Komodo National Park,景区,自然生态,免签30天,9.0,4.0,3.0,8.0,7.0,10岁以上,科莫多龙有攻击性,6,700,RMB,4.0,4.0,旱季,4-11月,10.0,6.0,7.5,7.0,7.0,1.6,印尼科莫多自然生态,6.81,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
61,东南亚,印尼,,拉贾安帕,拉贾安帕群岛,Raja Ampat Islands,景区,海洋潜水,免签30天,9.5,3.0,2.0,8.0,7.0,12岁以上,深潜为主，需会游泳,7,1000,RMB,3.0,4.0,旱季,10-4月,10.0,5.0,7.5,7.0,7.0,1.8,印尼拉贾安帕海洋潜水,6.56,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
62,东南亚,印度尼西亚,,巴厘岛,海神庙与乌布梯田,,景区,文化自然,,9.0,7.0,6.0,9.5,8.5,,,6,80,USD,7.0,8.0,旱季,4-10月,9.5,8.0,8.5,7.5,7.0,1.7,印度尼西亚巴厘岛文化自然,8.06,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
63,东南亚,印度尼西亚,,日惹,普兰巴南,,景区,世界遗产,,8.8,5.0,5.0,8.5,8.5,,,3,50,USD,6.0,7.0,旱季,5-9月,9.5,7.0,9.0,7.0,6.5,1.7,印度尼西亚日惹世界遗产,7.47,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
64,东南亚,印度尼西亚,,巴厘岛,努沙佩尼达岛,,景区,海岛自然,,8.8,5.0,3.0,9.0,8.0,,,6,70,USD,5.0,7.0,旱季,4-10月,9.0,6.0,8.5,7.5,7.0,2.5,印度尼西亚巴厘岛海岛自然,7.21,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
65,东南亚,印度尼西亚,,巴厘岛,乌布+海神庙/南部海岸,,景区,文化+度假,否,9.1,8.3,7.0,9.5,8.7,5-12岁,,2-3天,1800,RMB,7.8,8.0,5-10月,,8.9,8.0,8.7,7.2,6.9,1.7,印度尼西亚巴厘岛文化+度假,8.2,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + 国际版景区评分模板
66,东南亚,文莱,,斯里巴加湾,奥马尔清真寺,Omar Ali Saifuddien Mosque,景区,宗教建筑,互免签证,8.3,5.0,6.0,7.0,7.0,3岁以上,游览轻松，幼儿可参与,2,600,RMB,6.0,8.0,全年,全年,8.0,8.0,7.0,9.0,8.5,1.7,文莱斯里巴加湾宗教建筑,7.52,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
67,东南亚,文莱,,斯里巴加湾,奥玛阿里清真寺等城市地标,,景区,城市文化,是,8.2,7.0,7.2,8.0,7.8,6-15岁,,0.5-1天,1300,RMB,7.0,8.0,1-4月,,7.8,7.6,7.4,8.8,8.0,1.9,文莱斯里巴加湾城市文化,7.8,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + 国际版景区评分模板
68,东南亚,新加坡,,新加坡,滨海湾花园与金沙,,景区,都市地标,,9.2,9.0,8.0,9.5,9.0,,,5,200,USD,10.0,8.0,全年,2-4月,8.5,10.0,6.5,9.5,9.5,0.6,未来主义超级树和花穹，新加坡名片,9.03,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + international_scenic_spots
69,东南亚,新加坡,,新加坡,滨海湾花园,Gardens by the Bay,景区,现代园林,互免签证,9.3,9.0,7.0,9.0,8.0,2岁以上,平坦好走，灯光秀幼儿也爱,4,1000,RMB,10.0,9.0,四季,全年,8.5,10.0,7.5,9.8,9.5,0.8,未来主义超级树和花穹，新加坡名片,9.04,,携程/TripAdvisor/GPI/WEF-TTDI/Numbeo综合校准 + global_scenic_final_2026.xlsx
